[17.434] : ---------Program started---------
[17.434] : main: Loading Pineapple-Studio//API/Bedrock
[17.434] : main: Successfully loaded Pineapple-Studio//API/Bedrock
[17.434] : main: Loading Pineapple-Studio//API/BedrockOriginal
[17.434] : main: Successfully loaded Pineapple-Studio//API/BedrockOriginal
[17.434] : main: Loading Pineapple-Studio//API/lexer
[17.434] : main: Successfully loaded Pineapple-Studio//API/lexer
[17.434] : main: Loading Pineapple-Studio//Util/Extension
[17.434] : main: Successfully loaded Pineapple-Studio//Util/Extension
[17.434] : main: Loading Pineapple-Studio//Util/ExtensionManager
[17.434] : main: Successfully loaded Pineapple-Studio//Util/ExtensionManager
[17.434] : main: Loading Pineapple-Studio//Util/FileViewer
[17.434] : main: Successfully loaded Pineapple-Studio//Util/FileViewer
[17.434] : main: Loading Pineapple-Studio//Util/Project
[17.434] : main: Successfully loaded Pineapple-Studio//Util/Project
[17.434] : main: Loading Pineapple-Studio//Util/ProjectManager
[17.434] : main: Successfully loaded Pineapple-Studio//Util/ProjectManager
[17.434] : main: Loading Pineapple-Studio//Util/RandomKeyGenerator
[17.434] : main: Successfully loaded Pineapple-Studio//Util/RandomKeyGenerator
[17.434] : main: Loading Pineapple-Studio//Util/Scene
[17.434] : main: Successfully loaded Pineapple-Studio//Util/Scene
[17.434] : main: Loading Pineapple-Studio//Util/SceneManager
[17.434] : main: Successfully loaded Pineapple-Studio//Util/SceneManager
[17.434] : main: Loading Pineapple-Studio//Util/SceneTransitionAnimation
[17.434] : main: Successfully loaded Pineapple-Studio//Util/SceneTransitionAnimation
[17.434] : main: Loading Pineapple-Studio//Util/SharedPreferences.lua
[17.434] : main: Successfully loaded Pineapple-Studio//Util/SharedPreferences.lua
[17.434] : main: Loading Pineapple-Studio//Util/StringUtil
[17.434] : main: Successfully loaded Pineapple-Studio//Util/StringUtil
[17.434] : main: Loading Pineapple-Studio//Util/ThemeManager.lua
[17.434] : main: Successfully loaded Pineapple-Studio//Util/ThemeManager.lua
[17.434] : main: Loading Pineapple-Studio//Util/TokenCache
[17.434] : main: Successfully loaded Pineapple-Studio//Util/TokenCache
[17.435] : main: Loading Pineapple-Studio//Scene/MainMenuScene
[17.435] : main: Successfully loaded Pineapple-Studio//Scene/MainMenuScene
[17.435] : main: Loading Pineapple-Studio//Scene/ProjectViewScene.lua
[17.435] : main: Successfully loaded Pineapple-Studio//Scene/ProjectViewScene.lua
[17.435] : main: Loading Pineapple-Studio//Scene/ProjectWizardScene
[17.435] : main: Successfully loaded Pineapple-Studio//Scene/ProjectWizardScene
[17.435] : main: Loading Pineapple-Studio//Extension/BasicFileViewerExtension.lua
[17.435] : main: Successfully loaded Pineapple-Studio//Extension/BasicFileViewerExtension.lua
[17.435] : main: Loading Pineapple-Studio//Extension/BasicProjectWizardExtension.lua
[17.435] : main: Successfully loaded Pineapple-Studio//Extension/BasicProjectWizardExtension.lua
[17.435] : main: Loading Pineapple-Studio//Extension/FileAutoSaveExtension.lua
[17.435] : main: Successfully loaded Pineapple-Studio//Extension/FileAutoSaveExtension.lua
[17.435] : main: Loading Pineapple-Studio//Extension/FileExplorerToolBarExtension.lua
[17.435] : main: Successfully loaded Pineapple-Studio//Extension/FileExplorerToolBarExtension.lua
[17.435] : main: Loaded 23/23 APIs
[17.435] : ExtensionManager: Registered extension 'Basic file viewer ext.'
[17.435] : ExtensionManager: Registered extension 'Project Wizard'
[17.435] : ExtensionManager: Registered extension 'File auto save'
[17.435] : ExtensionManager: Registered extension 'File explorer'
[17.436] : ThemeManager: Loaded theme 'light'
[17.436] : ProjectManager: Opening /System/Projects/Appstore.program
[17.436] : ProjectManager: Project file found
[17.436] : Project: Refreshed project tree for /System/Projects/Appstore.program
[17.436] : SceneManager: Set scene ProjectViewScene
[17.437] : ProjectManager: Opened project
[17.483] : Open file /System/Projects/Appstore.program/main.lua
[17.483] : BasicFileViewerExtension: Get file content from /System/Projects/Appstore.program/main.lua
[17.484] : main.lua
[17.487] : Open file /System/Projects/Appstore.program/main.lua
[17.512] : 0
[17.52] : 0.001
[17.521] : 0
[17.525] : 0
[17.527] : 0.001
[17.528] : 0
[17.532] : 0.001
[17.533] : 0
[17.535] : 0
[17.537] : 0
[17.54] : 0
[17.542] : 0
[17.544] : 0
[17.546] : 0
[17.548] : 0
[17.55] : 0
[17.553] : 0
[17.566] : ProjectViewScene: Saving open file
[17.57] : 0
[17.577] : 0
[17.581] : 0
[17.583] : 0.001
[17.585] : 0.001
[17.586] : 0
[17.588] : 0
[17.592] : 0
[17.594] : 0.001
[17.596] : 0.001
[17.598] : 0.001
[17.6] : 0.001
[17.602] : 0.001
[17.604] : 0
[17.606] : 0.001
[17.608] : 0.001
[17.61] : 0
[17.612] : 0
[17.632] : ProjectViewScene: Saving open file
[17.635] : 0
[17.637] : 0
[17.639] : 0.001
[17.642] : 0
[17.644] : 0.001
[17.644] : 0
[17.65] : 0
[17.654] : 0.001
[17.656] : 0
[17.658] : 0.001
[17.677] : ProjectViewScene: Saving open file
[18.642] : 0
[18.65] : 0
[18.653] : 0
[18.655] : 0
[18.657] : 0
[18.659] : 0
[18.662] : 0
[18.664] : 0
[18.666] : 0
[18.668] : 0
[18.671] : 0
[18.673] : 0
[18.675] : 0
[18.677] : 0.001
[18.679] : 0
[18.681] : 0.001
[18.684] : 0
[18.686] : 0
[18.688] : 0.001
[18.692] : 0
[18.701] : 0
[18.716] : 0.001
[18.746] : ProjectViewScene: Saving open file
